Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Beverley Street,West,D'Arcy Street and a point 73 metres north,"8:30 a.m. to 6:00 p.m., except Sun.","{'start_intersection': ""D'Arcy Street"", 'distance': '73', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Biggar Avenue,Both,Alberta Avenue and a point 45.7 metres west,Anytime,"{'start_intersection': 'Alberta Avenue', 'distance': '45.7', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Boardwalk Drive,South,Sarah Ashbridge Avenue and a point 22 metres east,Anytime,"{'start_intersection': 'Sarah Ashbridge Avenue', 'distance': '22', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Boardwalk Drive,South,Winners Circle and a point 21 metres east,Anytime,"{'start_intersection': 'Winners Circle', 'distance': '21', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Boardwalk Drive,South,Winners Circle and a point 25 metres west,Anytime,"{'start_intersection': 'Winners Circle', 'distance': '25', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Berkeley Street,East,Adelaide Street East and Ramsay Lane,Anytime,"{'start_intersection': 'Adelaide Street East', 'end_intersection': 'Ramsay Lane', 'rule_type': 'block'}"
Berkeley Street,East,Shuter Street and Carlton Street,Anytime,"{'start_intersection': 'Shuter Street', 'end_intersection': 'Carlton Street', 'rule_type': 'block'}"
Berkeley Street,East,The Esplanade and King Street East,Anytime,"{'start_intersection': 'The Esplanade', 'end_intersection': 'King Street East', 'rule_type': 'block'}"
Biggar Avenue,North,Oakwood Avenue and a point 45.7 metres west of Alberta Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Oakwood Avenue', 'distance': '45.7', 'direction': 'west', 'offset_intersection': 'Alberta Avenue', 'rule_type': 'intersect_to_offset'}"
Bingham Avenue,East,Kingston Road and a point 75 metres north,Anytime,"{'start_intersection': 'Kingston Road', 'distance': '75', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Boardwalk Drive,West,Queen Street East and the first lane south,Anytime,"{'start_intersection': 'Queen Street East', 'end_intersection': 'the first lane south', 'rule_type': 'block'}"
Boardwalk Drive,West,A point 195 metres south of Queen Street East and a point 26 metres further south,Anytime,"{'dist1': '195', 'dir1': 'south', 'start_intersection': 'Queen Street East', 'dist2': '26', 'rule_type': 'relative_extension'}"
Boardwalk Drive,West,A point 265 metres south of Queen Street East and Joseph Duggan Road,Anytime,"{'distance': '265', 'direction': 'south', 'start_intersection': 'Queen Street East', 'end_intersection': 'Joseph Duggan Road', 'rule_type': 'offset_to_intersect'}"
Boustead Avenue,North,A point 186 metres west of Alhambra Avenue and Indian Road,Anytime,"{'distance': '186', 'direction': 'west', 'start_intersection': 'Alhambra Avenue', 'end_intersection': 'Indian Road', 'rule_type': 'offset_to_intersect'}"
Boustead Avenue,South,A point 56 metres east of Indian Road and a point 109 metres further east,Anytime,"{'dist1': '56', 'dir1': 'east', 'start_intersection': 'Indian Road', 'dist2': '109', 'rule_type': 'relative_extension'}"
Boustead Avenue,South,Roncesvalles Avenue and Alhambra Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Roncesvalles Avenue', 'end_intersection': 'Alhambra Avenue', 'rule_type': 'block'}"
Berkeley Street,West,Front Street East and a point 44.2 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Front Street East', 'distance': '44.2', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Berkeley Street,West,King Street East and Adelaide Street East,Anytime,"{'start_intersection': 'King Street East', 'end_intersection': 'Adelaide Street East', 'rule_type': 'block'}"
Berkeley Street,West,Queen Street East and a point 36 metres south,8:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Queen Street East', 'distance': '36', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Bingham Avenue,West,Kingston Road and a point 56 metres north,Anytime,"{'start_intersection': 'Kingston Road', 'distance': '56', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Bocastle Avenue,East,Glenforest Road and a point 27.4 metres north,Anytime,"{'start_intersection': 'Glenforest Road', 'distance': '27.4', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Bocastle Avenue,East,Golfdale Road and Teddington Park Avenue,Anytime,"{'start_intersection': 'Golfdale Road', 'end_intersection': 'Teddington Park Avenue', 'rule_type': 'block'}"
Bocastle Avenue,West,Bowood Avenue and Golfdale Road,Anytime,"{'start_intersection': 'Bowood Avenue', 'end_intersection': 'Golfdale Road', 'rule_type': 'block'}"
Bracondale Hill Road,Both,Hillcrest Drive and Turner Road,"9:30 a.m. to 11:30 a.m., Mon. to Fri.","{'start_intersection': 'Hillcrest Drive', 'end_intersection': 'Turner Road', 'rule_type': 'block'}"
Brad Street,North,Dundas Street West and the west end of Brad Street,Anytime,"{'start_intersection': 'Dundas Street West', 'end_intersection': 'the west end of Brad Street', 'rule_type': 'block'}"
Braemar Avenue,East,Eglinton Avenue West and Chaplin Crescent,Anytime,"{'start_intersection': 'Eglinton Avenue West', 'end_intersection': 'Chaplin Crescent', 'rule_type': 'block'}"
Berkeley Street,West,The lane first north of Dundas Street West and a point 15 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'The lane first north of Dundas Street West', 'distance': '15', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Berkshire Avenue,West,Queen Street East and Eastern Avenue,Anytime,"{'start_intersection': 'Queen Street East', 'end_intersection': 'Eastern Avenue', 'rule_type': 'block'}"
Bernard Avenue,North,Avenue Road and Huron Street,Anytime,"{'start_intersection': 'Avenue Road', 'end_intersection': 'Huron Street', 'rule_type': 'block'}"
Bingham Avenue,West,A point 61.5 metres north of Kingston Road and a point 75 metres north of Kingston Road,Anytime,"{'start_intersection': 'A point 61.5 metres north of Kingston Road', 'distance': '75', 'direction': 'north', 'offset_intersection': 'Kingston Road', 'rule_type': 'intersect_to_offset'}"
Bingham Avenue,West,Kingston Road and Bracken Avenue,Anytime,"{'start_intersection': 'Kingston Road', 'end_intersection': 'Bracken Avenue', 'rule_type': 'block'}"
Birch Avenue,North,Yonge Street and a point 161.8 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Yonge Street', 'distance': '161.8', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Bocastle Avenue,West,Teddington Park Avenue and the north end of Bocastle Avenue,Anytime,"{'start_intersection': 'Teddington Park Avenue', 'end_intersection': 'the north end of Bocastle Avenue', 'rule_type': 'block'}"
Bodwin Avenue,North,Indian Grove and the west end of Bodwin Avenue,Anytime,"{'start_intersection': 'Indian Grove', 'end_intersection': 'the west end of Bodwin Avenue', 'rule_type': 'block'}"
Boler Street,Both,Maria Street and the north end of Boler Street,8:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Maria Street', 'end_intersection': 'the north end of Boler Street', 'rule_type': 'block'}"
Boulton Avenue,East,First Avenue and Gerrard Street East,Anytime,"{'start_intersection': 'First Avenue', 'end_intersection': 'Gerrard Street East', 'rule_type': 'block'}"
Bernard Avenue,North,Madison Avenue and Kendal Avenue,Anytime,"{'start_intersection': 'Madison Avenue', 'end_intersection': 'Kendal Avenue', 'rule_type': 'block'}"
Bernard Avenue,South,Avenue Road and first lane west,Anytime,"{'start_intersection': 'Avenue Road', 'end_intersection': 'first lane west', 'rule_type': 'block'}"
Bernard Avenue,South,Bedford Road and a point 30.5 metres west,Anytime,"{'start_intersection': 'Bedford Road', 'distance': '30.5', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Birch Avenue,South,Grange Avenue and the west end,Anytime,"{'start_intersection': 'Grange Avenue', 'end_intersection': 'the west end', 'rule_type': 'block'}"
Birchview Crescent,West,A point 53 metres south of Oakview Avenue and a point 19.5 metres further south,Anytime,"{'dist1': '53', 'dir1': 'south', 'start_intersection': 'Oakview Avenue', 'dist2': '19.5', 'rule_type': 'relative_extension'}"
Bishop Street,South,Davenport Road and the west end of Bishop Street,Anytime,"{'start_intersection': 'Davenport Road', 'end_intersection': 'the west end of Bishop Street', 'rule_type': 'block'}"
Bond Street,West,Shuter Street and a point 40 metres south of Dundas Street East,Anytime,"{'start_intersection': 'Shuter Street', 'distance': '40', 'direction': 'south', 'offset_intersection': 'Dundas Street East', 'rule_type': 'intersect_to_offset'}"
Bowden Street,West,Hogarth Avenue and Danforth Avenue,Anytime,"{'start_intersection': 'Hogarth Avenue', 'end_intersection': 'Danforth Avenue', 'rule_type': 'block'}"
Bowmore Road,West,Wrenson Road and a point 29 metres north of Wrenson Road,"8:30 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Wrenson Road', 'distance': '29', 'direction': 'north', 'offset_intersection': 'Wrenson Road', 'rule_type': 'intersect_to_offset'}"
Bernard Avenue,South,A point 141 metres east of Bedford Road and a point 27 metres further east,Anytime,"{'dist1': '141', 'dir1': 'east', 'start_intersection': 'Bedford Road', 'dist2': '27', 'rule_type': 'relative_extension'}"
Bernard Avenue,South,Bedford Road and Admiral Road,Anytime,"{'start_intersection': 'Bedford Road', 'end_intersection': 'Admiral Road', 'rule_type': 'block'}"
Bernard Avenue,South,Brunswick Avenue and Kendal Avenue,Anytime,"{'start_intersection': 'Brunswick Avenue', 'end_intersection': 'Kendal Avenue', 'rule_type': 'block'}"
Bishop Tutu Boulevard,East,Queens Quay West and a point 43 metres north,Anytime,"{'start_intersection': 'Queens Quay West', 'distance': '43', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Bishop Tutu Boulevard,West and South,Queens Quay West and Stadium Road,Anytime,"{'start_intersection': 'Queens Quay West', 'end_intersection': 'Stadium Road', 'rule_type': 'block'}"
Blackmore Street,Both,Davenport Road and the east end of Blackmore Street,Anytime,"{'start_intersection': 'Davenport Road', 'end_intersection': 'the east end of Blackmore Street', 'rule_type': 'block'}"
Booth Avenue,East,Eastern Avenue and a point 53.3 metres north,Anytime,"{'start_intersection': 'Eastern Avenue', 'distance': '53.3', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Booth Avenue,East,Eastern Avenue and Queen Street East,Anytime,"{'start_intersection': 'Eastern Avenue', 'end_intersection': 'Queen Street East', 'rule_type': 'block'}"
Booth Avenue,East,Lake Shore Boulevard East and Eastern Avenue,Anytime,"{'start_intersection': 'Lake Shore Boulevard East', 'end_intersection': 'Eastern Avenue', 'rule_type': 'block'}"
Boulton Avenue,West,Dundas Street East and First Avenue,Anytime,"{'start_intersection': 'Dundas Street East', 'end_intersection': 'First Avenue', 'rule_type': 'block'}"
Boulton Drive,East,A point approximately 234 metres north of Cottingham Road and a point 75 metres further north,Anytime,"{'distance': '234', 'direction': 'north', 'start_intersection': 'Cottingham Road', 'end_intersection': 'a point 75 metres further north', 'rule_type': 'offset_to_intersect'}"
Boulton Drive,East,Poplar Plains Road and Cottingham Road,Anytime,"{'start_intersection': 'Poplar Plains Road', 'end_intersection': 'Cottingham Road', 'rule_type': 'block'}"
Bernard Avenue,South,Huron Street and Madison Avenue,Anytime,"{'start_intersection': 'Huron Street', 'end_intersection': 'Madison Avenue', 'rule_type': 'block'}"
Bernard Avenue,South,Spadina Road and Madison Avenue,Anytime,"{'start_intersection': 'Spadina Road', 'end_intersection': 'Madison Avenue', 'rule_type': 'block'}"
Berryman Street,North,A point 77 metres west of Davenport Road and a point 35 metres further west,Anytime,"{'dist1': '77', 'dir1': 'west', 'start_intersection': 'Davenport Road', 'dist2': '35', 'rule_type': 'relative_extension'}"
Blackthorn Avenue,West,A point 76.2 metres north of St. Clair Avenue West and a point 61 metres further north,Anytime,"{'dist1': '76.2', 'dir1': 'north', 'start_intersection': 'St. Clair Avenue West', 'dist2': '61', 'rule_type': 'relative_extension'}"
Booth Avenue,West,A point 168 metres south of Eastern Avenue and a point 72 metres further south,Anytime,"{'dist1': '168', 'dir1': 'south', 'start_intersection': 'Eastern Avenue', 'dist2': '72', 'rule_type': 'relative_extension'}"
Booth Avenue,West,Eastern Avenue and a point 41.1 metres south,Anytime,"{'start_intersection': 'Eastern Avenue', 'distance': '41.1', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Booth Avenue,West,Lake Shore Boulevard East and a point 56.4 metres north,Anytime,"{'start_intersection': 'Lake Shore Boulevard East', 'distance': '56.4', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Berryman Street,North,Davenport Road and a point 45.7 metres west,"10:00 a.m. to 3:30 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Davenport Road', 'distance': '45.7', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Berryman Street,South,Davenport Road and Hazelton Avenue,Anytime,"{'start_intersection': 'Davenport Road', 'end_intersection': 'Hazelton Avenue', 'rule_type': 'block'}"
Booth Avenue,West,Queen Street East and Paisley Avenue,Anytime,"{'start_intersection': 'Queen Street East', 'end_intersection': 'Paisley Avenue', 'rule_type': 'block'}"
Booth Avenue,West,Queen Street East and a point 22 metres south,Anytime,"{'start_intersection': 'Queen Street East', 'distance': '22', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Bowmore Road,West,A point 29 metres north of Wrenson Road and a point 68 metres north of Wrenson Road,"9:30 a.m. to 11:30 a.m., 1:30 p.m. to 3:00 p.m., Mon. to Fri.","{'start_intersection': 'A point 29 metres north of Wrenson Road', 'distance': '68', 'direction': 'north', 'offset_intersection': 'Wrenson Road', 'rule_type': 'intersect_to_offset'}"
Bowood Avenue,South,A point 36.7 metres east of Yonge Street and a point 91.4 metres east of Yonge Street,Anytime,"{'start_intersection': 'A point 36.7 metres east of Yonge Street', 'distance': '91.4', 'direction': 'east', 'offset_intersection': 'Yonge Street', 'rule_type': 'intersect_to_offset'}"
Bertmount Avenue,East,Mallon Avenue and Dundas Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Mallon Avenue', 'end_intersection': 'Dundas Street East', 'rule_type': 'block'}"
Bertmount Avenue,East,A point 122 metres north of Queen Street East and a point 44 metres further north,Anytime,"{'dist1': '122', 'dir1': 'north', 'start_intersection': 'Queen Street East', 'dist2': '44', 'rule_type': 'relative_extension'}"
Boothroyd Avenue,East,Boultbee Avenue and a point 51.8 metres north,Anytime,"{'start_intersection': 'Boultbee Avenue', 'distance': '51.8', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Boulton Drive,North,Russell Hill Road and a point 61 metres west,Anytime,"{'start_intersection': 'Russell Hill Road', 'distance': '61', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Boulton Drive,West,Macpherson Avenue and a point 61 metres north,Anytime,"{'start_intersection': 'Macpherson Avenue', 'distance': '61', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Boustead Avenue,North,Alhambra Avenue and a point 103 metres west of Alhambra Avenue,Anytime,"{'start_intersection': 'Alhambra Avenue', 'distance': '103', 'direction': 'west', 'offset_intersection': 'Alhambra Avenue', 'rule_type': 'intersect_to_offset'}"
Bertmount Avenue,East,A point 166 metres north of Queen Street East and a point 45.5 metres further north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'dist1': '166', 'dir1': 'north', 'start_intersection': 'Queen Street East', 'dist2': '45.5', 'rule_type': 'relative_extension'}"
Bertmount Avenue,East,A point 211.5 metres north of Queen Street East and a point 49 metres further north,Anytime,"{'dist1': '211.5', 'dir1': 'north', 'start_intersection': 'Queen Street East', 'dist2': '49', 'rule_type': 'relative_extension'}"
Bleecker Street,East,Howard Street and Carlton Street,Anytime,"{'start_intersection': 'Howard Street', 'end_intersection': 'Carlton Street', 'rule_type': 'block'}"
